problem,dim,seed,panel,point_index,chart_point,clean_target_y,observed_target_y
GMM,2,42,test,77,"[-0.5155934859067202, 0.3634527213871479]",-0.9611887358885298,-0.9611887358885298
GMM,2,42,test,78,"[-0.28650951012969017, -0.828955989331007]",-0.9264908037696549,-0.9264908037696549
GMM,2,42,test,79,"[0.023379884660243988, 0.5330669358372688]",-0.9720444796889516,-0.9720444796889516
GMM,2,42,test,80,"[0.0760658998042345, -0.7631031163036823]",-0.9433791195904979,-0.9433791195904979
GMM,2,42,test,81,"[-0.3744750339537859, 0.6215190440416336]",-0.9488664455691821,-0.9488664455691821
GMM,2,42,test,82,"[-0.5838751904666424, -0.0865262895822525]",-0.9660358171970245,-0.9660358171970245
GMM,2,42,test,83,"[0.8510178700089455, 0.2906485013663769]",-0.9224314206171306,-0.9224314206171306
GMM,2,42,test,84,"[0.711022675037384, -0.3399344105273485]",-0.9400728382871834,-0.9400728382871834
GMM,2,42,test,85,"[-0.9790193773806095, 0.04401537962257862]",-0.9087920361222733,-0.9087920361222733
GMM,2,42,test,86,"[-0.1875650379806757, -0.5096721034497023]",-0.9712946110322641,-0.9712946110322641
GMM,2,42,test,87,"[0.4868291411548853, 0.8680529873818159]",-0.9057591406085924,-0.9057591406085924
GMM,2,42,test,88,"[0.31630706042051315, -0.16301576420664787]",-0.9876407874650418,-0.9876407874650418
GMM,2,42,test,89,"[-0.11080798134207726, 0.4608459547162056]",-0.9779171678486303,-0.9779171678486303
GMM,2,42,test,90,"[-0.8397317994385958, -0.9874158725142479]",-0.8460341284562091,-0.8460341284562091
GMM,2,42,test,91,"[0.6029700804501772, 0.6270475275814533]",-0.9271943239510355,-0.9271943239510355
GMM,2,42,test,92,"[0.9590743128210306, -0.7417630199342966]",-0.8638397193253267,-0.8638397193253267
GMM,2,42,test,93,"[-0.7231666091829538, 0.8814282957464457]",-0.8783381211735075,-0.8783381211735075
GMM,2,42,test,94,"[-0.45123593881726265, -0.4085694309324026]",-0.9639641878977895,-0.9639641878977895
GMM,2,42,test,95,"[0.24659182131290436, 0.2064423020929098]",-0.9898518660560767,-0.9898518660560767
GMM,2,42,test,96,"[0.19727226346731186, -0.6548303794115782]",-0.9547371693647132,-0.9547371693647132
GMM,2,42,test,97,"[-0.49275171384215355, 0.9839410912245512]",-0.8861179384932368,-0.8861179384932368
GMM,2,42,test,98,"[-0.7051044274121523, -0.4487129021435976]",-0.93292645552091,-0.93292645552091
GMM,2,42,test,99,"[0.9693174231797457, 0.18212507851421833]",-0.9074465548333341,-0.9074465548333341
GMM,2,42,test,100,"[0.5937035325914621, -0.2030905783176422]",-0.9616305277418234,-0.9616305277418234
GMM,2,42,test,101,"[-0.8568174187093973, 0.43647533282637596]",-0.9119707434666572,-0.9119707434666572
GMM,2,42,test,102,"[-0.07026876881718636, -0.9004145599901676]",-0.9222549038019765,-0.9222549038019765
GMM,2,42,test,103,"[0.36465005576610565, 0.7295069098472595]",-0.9357261929846502,-0.9357261929846502
GMM,2,42,test,104,"[0.4414080698043108, -0.3018060829490423]",-0.9720831821514561,-0.9720831821514561
GMM,2,42,test,105,"[-0.2407917995005846, 0.0664414968341589]",-0.993977365633781,-0.993977365633781
GMM,2,42,test,106,"[-0.9648709706962109, -0.5947116706520319]",-0.8799566278067442,-0.8799566278067442
GMM,2,42,test,107,"[0.732992060482502, 0.7675533685833216]",-0.8935343600313242,-0.8935343600313242
GMM,2,42,test,108,"[0.8300250470638275, -0.8480892851948738]",-0.8692708873923584,-0.8692708873923584
GMM,2,42,test,109,"[-0.597047034651041, 0.5209507681429386]",-0.9393526314025967,-0.9393526314025967
GMM,2,42,test,110,"[-0.322224834933877, -0.04834454879164696]",-0.9896678135520015,-0.9896678135520015
GMM,2,42,test,111,"[0.120510408654809, 0.3130059465765953]",-0.9889445728706395,-0.9889445728706395
GMM,2,42,test,112,"[0.03266824781894684, -0.10565963760018349]",-0.998991654098404,-0.998991654098404
GMM,2,42,test,113,"[-0.2694151885807514, 0.2785322666168213]",-0.9852654823723889,-0.9852654823723889
GMM,2,42,test,114,"[-0.5561087373644114, -0.8064068257808685]",-0.9090388431239242,-0.9090388431239242
GMM,2,42,test,115,"[0.7616226021200418, 0.5710723362863064]",-0.9134462054755464,-0.9134462054755464
GMM,2,42,test,116,"[0.6762758065015078, -0.5598722863942385]",-0.926217727077541,-0.926217727077541
GMM,2,42,test,117,"[-0.8809356559067965, 0.8245037067681551]",-0.8648067635677933,-0.8648067635677933
GMM,2,42,test,118,"[-0.1684837006032467, -0.3522933553904295]",-0.9851628858211354,-0.9851628858211354
GMM,2,42,test,119,"[0.40437566488981247, 0.02512378804385662]",-0.9838920691143827,-0.9838920691143827
GMM,2,42,test,120,"[0.2963335309177637, -0.9450281821191311]",-0.9072185472900225,-0.9072185472900225
GMM,2,42,test,121,"[-0.02917606569826603, 0.6784093007445335]",-0.9550451472458891,-0.9550451472458891
GMM,2,42,test,122,"[-0.8041585423052311, -0.1428443267941475]",-0.9358063142814007,-0.9358063142814007
GMM,2,42,test,123,"[0.5057641863822937, 0.4719250537455082]",-0.953372090576469,-0.953372090576469
GMM,2,42,test,124,"[0.9321303740143776, -0.39724857546389103]",-0.9027571067850125,-0.9027571067850125
GMM,2,42,test,125,"[-0.632882010191679, 0.2263710293918848]",-0.9560666492822817,-0.9560666492822817
GMM,2,42,test,126,"[-0.40871897526085377, -0.690646817907691]",-0.9380825209292666,-0.9380825209292666
GMM,2,42,test,127,"[0.14070654101669788, 0.9240625109523535]",-0.9164183979617477,-0.9164183979617477
GMM,2,42,test,128,"[0.15085692703723907, -0.027720743790268898]",-0.9978408141241016,-0.9978408141241016
GMM,2,42,test,129,"[-0.41494904831051826, 0.35683932341635227]",-0.9706751662929283,-0.9706751662929283
GMM,2,42,test,130,"[-0.6274314764887094, -0.8218476232141256]",-0.8991573486952301,-0.8991573486952301
GMM,2,42,test,131,"[0.9227876607328653, 0.5552671905606985]",-0.8905690184656653,-0.8905690184656653
GMM,2,42,test,132,"[0.5151684451848269, -0.5753171555697918]",-0.9425065684269534,-0.9425065684269534
GMM,2,42,test,133,"[-0.8096696604043245, 0.8086945191025734]",-0.8775202111495748,-0.8775202111495748
GMM,2,42,test,134,"[-0.023006584495306015, -0.2743503972887993]",-0.9927132640099694,-0.9927132640099694
GMM,2,42,test,135,"[0.2862446829676628, 0.10343487933278084]",-0.9909378788375897,-0.9909378788375897
GMM,2,42,test,136,"[0.3950041923671961, -0.929587097838521]",-0.9036626365741313,-0.9036626365741313
GMM,2,42,test,137,"[-0.1630005929619074, 0.6942146439105272]",-0.9505418292200439,-0.9505418292200439
GMM,2,42,test,138,"[-0.8871941901743412, -0.22078350000083447]",-0.9201898779401092,-0.9201898779401092
GMM,2,42,test,139,"[0.6864584684371948, 0.393617806956172]",-0.9394074009748026,-0.9394074009748026
GMM,2,42,test,140,"[0.7515014186501503, -0.47519131377339363]",-0.9243482040476727,-0.9243482040476727
GMM,2,42,test,141,"[-0.5499107353389263, 0.14806018769741058]",-0.9683189155424434,-0.9683189155424434
GMM,2,42,test,142,"[-0.27495882101356983, -0.6752021759748459]",-0.9486789567641682,-0.9486789567641682
GMM,2,42,test,143,"[0.04210120625793934, 0.9398714415729046]",-0.9153782359183142,-0.9153782359183142
GMM,2,42,test,144,"[0.11038317531347275, -0.733257345855236]",-0.9469757801177804,-0.9469757801177804
GMM,2,42,test,145,"[-0.31601744517683983, 0.9061225838959217]",-0.9121548517314105,-0.9121548517314105
GMM,2,42,test,146,"[-0.6025965381413698, -0.4327840320765972]",-0.9468149823421914,-0.9468149823421914
GMM,2,42,test,147,"[0.8394672144204378, 0.1974416747689247]",-0.9284648988581471,-0.9284648988581471
GMM,2,42,test,148,"[0.7236104849725962, -0.1871571596711874]",-0.9459035628269983,-0.9459035628269983
GMM,2,42,test,149,"[-0.9593830052763224, 0.4517964478582144]",-0.8939673616934775,-0.8939673616934775
GMM,2,42,test,150,"[-0.24706073477864265, -0.9788460675626993]",-0.9037444521661531,-0.9037444521661531
GMM,2,42,test,151,"[0.45159588754177094, 0.6516838911920786]",-0.9391520210941349,-0.9391520210941349
GMM,2,42,test,152,"[0.3740598876029253, -0.3177356570959091]",-0.9764761319951824,-0.9764761319951824
GMM,2,42,test,153,"[-0.07578975148499012, 0.05112416669726372]",-0.9993502700999533,-0.9993502700999533
GMM,2,42,test,154,"[-0.8506425432860851, -0.5162840075790882]",-0.9061810282011709,-0.9061810282011709
GMM,2,42,test,155,"[0.5836049988865852, 0.8453726023435593]",-0.8999136148260006,-0.8999136148260006
GMM,2,42,test,156,"[0.9794764816761017, -0.7696585338562727]",-0.856838901674999,-0.856838901674999
GMM,2,42,test,157,"[-0.7113407887518406, 0.5987731199711561]",-0.9174131606022486,-0.9174131606022486
GMM,2,42,test,158,"[-0.4872922096401453, -0.06427720375359058]",-0.9763852039755189,-0.9763852039755189
GMM,2,42,test,159,"[0.18792296387255192, 0.2976855058223009]",-0.9878129863168861,-0.9878129863168861
GMM,2,42,test,160,"[0.24114149995148182, -0.872292498126626]",-0.9219440545172162,-0.9219440545172162
GMM,2,42,test,161,"[-0.4418929535895586, 0.5119615290313959]",-0.9554678124625658,-0.9554678124625658
GMM,2,42,test,162,"[-0.7333167307078838, -0.039834996685385704]",-0.9477947792258355,-0.9477947792258355
GMM,2,42,test,163,"[0.9653045907616615, 0.33770411275327206]",-0.9008085713007091,-0.9008085713007091
GMM,2,42,test,164,"[0.5968003273010254, -0.2932400368154049]",-0.9570186257212174,-0.9570186257212174
GMM,2,42,test,165,"[-0.8296431638300419, 0.09107410162687302]",-0.93301902547262,-0.93301902547262
GMM,2,42,test,166,"[-0.12021244503557682, -0.6188645735383034]",-0.9614428385819357,-0.9614428385819357
GMM,2,42,test,167,"[0.3218179140239954, 0.7584923543035984]",-0.9344426722554834,-0.9344426722554834
GMM,2,42,test,168,"[0.49308793991804123, -0.20970635302364826]",-0.9719360408424252,-0.9719360408424252
GMM,2,42,test,169,"[-0.19774749502539635, 0.4137910772114992]",-0.9793333443093302,-0.9793333443093302
GMM,2,42,test,170,"[-0.9696476925164461, -0.87822718732059]",-0.8433476025196293,-0.8433476025196293
GMM,2,42,test,171,"[0.7055398393422365, 0.7366043161600828]",-0.9012581441929646,-0.9012581441929646
GMM,2,42,test,172,"[0.8565612975507975, -0.6325697936117649]",-0.893267963514712,-0.893267963514712
GMM,2,42,test,173,"[-0.5933084134012461, 0.9909895956516266]",-0.8753012916348927,-0.8753012916348927
GMM,2,42,test,174,"[-0.36435412243008614, -0.4552645683288574]",-0.9669177274537841,-0.9669177274537841
GMM,2,42,test,175,"[0.06986768543720245, 0.1593829058110714]",-0.9971331702318011,-0.9971331702318011
GMM,2,42,test,176,"[0.02892960049211979, -0.3901517167687416]",-0.9851146311940029,-0.9851146311940029
GMM,2,42,test,177,"[-0.2959514055401087, 0.24855977669358253]",-0.9853509314440532,-0.9853509314440532
GMM,2,42,test,178,"[-0.5054659880697727, -0.7133305333554745]",-0.926891344916258,-0.926891344916258
GMM,2,42,test,179,"[0.8037518560886383, 0.9174453541636467]",-0.8618174337162259,-0.8618174337162259
GMM,2,42,test,180,"[0.6332314684987068, -0.9677688684314489]",-0.8755171270338641,-0.8755171270338641
GMM,2,42,test,181,"[-0.9326154999434948, 0.6718572285026312]",-0.8765518100093997,-0.8765518100093997
GMM,2,42,test,182,"[-0.14103144593536854, -0.1357973013073206]",-0.9964056003340527,-0.9964056003340527
GMM,2,42,test,183,"[0.40915236063301563, 0.4941860530525446]",-0.9597696816755943,-0.9597696816755943
GMM,2,42,test,184,"[0.26915930211544037, -0.5351737141609192]",-0.9651199887647909,-0.9651199887647909
GMM,2,42,test,185,"[-0.03227289393544197, 0.8330117724835873]",-0.9329637701338405,-0.9329637701338405
GMM,2,42,test,186,"[-0.7613264266401529, -0.36128300800919533]",-0.9318276801806253,-0.9318276801806253
GMM,2,42,test,187,"[0.5557078961282969, 0.0009220540523529053]",-0.9697690909026326,-0.9697690909026326
GMM,2,42,test,188,"[0.8812716472893953, -0.11472202651202679]",-0.9242739033931164,-0.9242739033931164
GMM,2,42,test,189,"[-0.676751272752881, 0.2543799113482237]",-0.949319997990719,-0.949319997990719
GMM,2,42,test,190,"[-0.4047061763703823, -0.7817728389054537]",-0.9259383236443536,-0.9259383236443536
GMM,2,42,test,191,"[0.16891887038946152, 0.5796378422528505]",-0.9643043424428442,-0.9643043424428442
GMM,2,42,test,192,"[0.17532549984753132, -0.608709279447794]",-0.9610730982103233,-0.9610730982103233
GMM,2,42,test,193,"[-0.37607903964817524, 0.7796207368373871]",-0.927962595199207,-0.927962595199207
GMM,2,42,test,194,"[-0.6675410233438015, -0.3072577118873596]",-0.947773884862658,-0.947773884862658
GMM,2,42,test,195,"[0.8995266780257225, 0.07386913523077965]",-0.9219323773755707,-0.9219323773755707
GMM,2,42,test,196,"[0.5375782698392868, -0.060716139152646065]",-0.9713507971567944,-0.9713507971567944
GMM,2,42,test,197,"[-0.7704189009964466, 0.32730777747929096]",-0.9325982387703452,-0.9325982387703452
GMM,2,42,test,198,"[-0.06102638877928257, -0.855334771797061]",-0.9296585870901904,-0.9296585870901904
GMM,2,42,test,199,"[0.2626339439302683, 0.5262202452868223]",-0.9661020404284612,-0.9661020404284612
GMM,2,42,test,200,"[0.43509388715028763, -0.44222262129187584]",-0.9625742715411204,-0.9625742715411204
GMM,2,42,test,201,"[-0.1397518329322338, 0.17756503075361252]",-0.995076399847507,-0.995076399847507
GMM,2,42,test,202,"[-0.9116748590022326, -0.6417493596673012]",-0.8836321108931992,-0.8836321108931992
GMM,2,42,test,203,"[0.6475687343627214, 0.9688840545713902]",-0.8730628375129735,-0.8730628375129735
GMM,2,42,test,204,"[0.7895323727279902, -0.8961606416851282]",-0.8677247622898605,-0.8677247622898605
GMM,2,42,test,205,"[-0.5262812171131372, 0.7233227584511042]",-0.923282705943398,-0.923282705943398
GMM,2,42,test,206,"[-0.2973497547209263, -0.18784948252141476]",-0.9879634826886811,-0.9879634826886811
GMM,2,42,test,207,"[0.002861708402633667, 0.42321025393903255]",-0.982373876452372,-0.982373876452372
GMM,2,42,test,208,"[0.0868948046118021, -0.1542078983038664]",-0.9970966473999486,-0.9970966473999486
GMM,2,42,test,209,"[-0.3539148811250925, 0.48137365095317364]",-0.9650940085568454,-0.9650940085568454
GMM,2,42,test,210,"[-0.5634676702320576, -0.9454043377190828]",-0.8865446292283664,-0.8865446292283664
GMM,2,42,test,211,"[0.8617551475763321, 0.6807767320424318]",-0.886450337677099,-0.886450337677099
GMM,2,42,test,212,"[0.7002282068133354, -0.69978928565979]",-0.907140702572883,-0.907140702572883
GMM,2,42,test,213,"[-0.9996138475835323, 0.935119953006506]",-0.8294846895073945,-0.8294846895073945
GMM,2,42,test,214,"[-0.2080680001527071, -0.39980006590485573]",-0.9802077112367703,-0.9802077112367703
GMM,2,42,test,215,"[0.4761871863156557, 0.22693124413490295]",-0.9726902241599694,-0.9726902241599694
GMM,2,42,test,216,"[0.33494263887405396, -0.8031609263271093]",-0.927609259909386,-0.927609259909386
GMM,2,42,test,217,"[-0.09805843606591225, 0.5697414185851812]",-0.9672521485208786,-0.9672521485208786
GMM,2,42,test,218,"[-0.8271347973495722, -0.09728787280619144]",-0.9333247325822761,-0.9333247325822761
GMM,2,42,test,219,"[0.621514180675149, 0.2681692335754633]",-0.9553375176851355,-0.9553375176851355
GMM,2,42,test,220,"[0.9404653329402208, -0.35065821558237076]",-0.9044731761653747,-0.9044731761653747
GMM,2,42,test,221,"[-0.7359428722411394, 0.021573666483163834]",-0.9475264142917688,-0.9475264142917688
GMM,2,42,test,222,"[-0.46392060443758965, -0.5496914051473141]",-0.9499729044738757,-0.9499729044738757
GMM,2,42,test,223,"[0.22813550382852554, 0.8163140937685966]",-0.930757364632972,-0.930757364632972
GMM,2,42,test,224,"[0.21789345145225525, -0.26370837166905403]",-0.9886221315749797,-0.9886221315749797
GMM,2,42,test,225,"[-0.48198384419083595, 0.12406937777996063]",-0.9757557312141254,-0.9757557312141254
GMM,2,42,test,226,"[-0.6944281850010157, -0.5898177474737167]",-0.9207858609568459,-0.9207858609568459
GMM,2,42,test,227,"[0.9897859785705805, 0.7919796220958233]",-0.8516136743285977,-0.8516136743285977
GMM,2,42,test,228,"[0.5731700975447893, -0.8432185966521502]",-0.9018590222650799,-0.9018590222650799
GMM,2,42,test,229,"[-0.8676729220896959, 0.5453535337001085]",-0.9005896571564275,-0.9005896571564275
GMM,2,42,test,230,"[-0.08097175881266594, -0.010269371792674065]",-0.9995323853290137,-0.9995323853290137
GMM,2,42,test,231,"[0.34420812875032425, 0.37061154656112194]",-0.9748547673350023,-0.9748547673350023
GMM,2,42,test,232,"[0.4542186502367258, -0.6616780273616314]",-0.9380674764888259,-0.9380674764888259
GMM,2,42,test,233,"[-0.2222172562032938, 0.9575632587075233]",-0.9080088082577834,-0.9080088082577834
GMM,2,42,test,234,"[-0.9463879056274891, -0.48485689610242844]",-0.8935525074304614,-0.8935525074304614
GMM,2,42,test,235,"[0.7456500977277756, 0.12644876912236214]",-0.9445566214748007,-0.9445566214748007
GMM,2,42,test,236,"[0.8173098191618919, -0.23921131528913975]",-0.9303027418135399,-0.9303027418135399
GMM,2,42,test,237,"[-0.6157170496881008, 0.380822503939271]",-0.949158064340585,-0.949158064340585
GMM,2,42,test,238,"[-0.3407421875745058, -0.907239681109786]",-0.9109429851046473,-0.9109429851046473
GMM,2,42,test,239,"[0.107886778190732, 0.7031513806432486]",-0.9507471126550329,-0.9507471126550329
GMM,2,42,test,240,"[0.05119708925485611, -0.9967661183327436]",-0.905857124972883,-0.905857124972883
GMM,2,42,test,241,"[-0.25683344528079033, 0.6383890490978956]",-0.9538897536343696,-0.9538897536343696
GMM,2,42,test,242,"[-0.5433744508773088, -0.1652869898825884]",-0.968542126743209,-0.968542126743209
GMM,2,42,test,243,"[0.7802429217845201, 0.46120220609009266]",-0.9212284883280533,-0.9212284883280533
